REF;LONGITUDE;LATITUDE;NOM1;NOM2;TYPE;OSM_ID;OSM_LON;OSM_LAT;OSM_NAME;DIFF_POS;DIFF_NOM;DIFF_NOM_CAP
1679;2.363669598;48.86748604;République;PARIS-11EME;metro;243507791;2.3645980;48.8673061;République;70;0;0
1662;2.386118187;48.84723813;Reuilly-Diderot;PARIS-12EME;metro;27371892;2.3866995;48.8472696;Reuilly – Diderot;42;1;1
1664;2.37209778;48.86089275;Richard-Lenoir;PARIS-11EME;metro;264769297;2.3721323;48.8602039;Richard Lenoir;76;1;1
1665;2.3390881;48.87201392;Richelieu-Drouot;PARIS-09EME;metro;256897080;2.3395091;48.8720176;Richelieu Drouot;30;1;1
1666;2.374487426;48.88812356;Riquet;PARIS-19EME;metro;264776028;2.3740693;48.8885069;Riquet;52;0;0
1667;2.423556739;48.855564;Robespierre;MONTREUIL;metro;256442845;2.4237108;48.8558145;Robespierre;30;0;0
1670;2.320984144;48.88252922;Rome;PARIS-17EME;metro;243496028;2.3221220;48.8824462;Rome;83;0;0
1672;2.277626329;48.86410041;Rue de la Pompe (Avenue Georges Mandel);PARIS-16EME;metro;260767423;2.2780859;48.8640063;Rue de la Pompe;35;1;1
1673;2.389142805;48.85214177;Rue des Boulets;PARIS-11EME;metro;256443205;2.3887914;48.8525808;Rue des Boulets;55;0;0
1674;2.325568822;48.85575647;Rue du Bac;PARIS-07EME;metro;264495553;2.3256659;48.8557241;Rue du Bac;7;0;0
1693;2.380073296;48.86398781;Rue Saint-Maur;PARIS-11EME;metro;243507789;2.3794597;48.8643020;Rue Saint-Maur;56;0;0
1680;2.374097604;48.8612121;Saint-Ambroise;PARIS-11EME;metro;256895609;2.3747956;48.8610516;Saint-Ambroise;54;0;0
1681;2.320431397;48.87467427;Saint-Augustin;PARIS-08EME;metro;256897554;2.3197963;48.8747030;Saint-Augustin;46;0;0
22439;2.357410164;48.92962761;Saint-Denis-Porte de Paris;SAINT-DENIS;metro;331523267;2.3563841;48.9301278;Saint-Denis Porte de Paris;93;1;1
50399;2.362358758;48.94562548;Saint-Denis-Universite;SAINT-DENIS;metro;331524254;2.3641518;48.9459311;Saint-Denis Université;135;1;1
1684;2.404857636;48.8719511;Saint-Fargeau;PARIS-20EME;metro;264796181;2.4040581;48.8715165;Saint-Fargeau;75;0;0
1685;2.314034527;48.85186321;Saint-Francois-Xavier;PARIS-07EME;metro;245250758;2.3143901;48.8514000;Saint-François-Xavier;57;1;1
1686;2.337588512;48.87850854;Saint-Georges;PARIS-09EME;metro;264504832;2.3374732;48.8784508;Saint-Georges;10;0;0
1687;2.332372163;48.85350559;Saint-Germain des Prés;PARIS-06EME;metro;264519782;2.3333280;48.8536264;Saint-Germain des Prés;71;0;0
1688;2.336220015;48.83325229;Saint-Jacques;PARIS-14EME;metro;235369898;2.3366295;48.8330168;Saint-Jacques;39;0;0
